sentences,type
mere lie eka tEksI vyavasWiwa karane ke lie aMbAlA,cab_book
SivagaMgA se birasA muMdA eyaraporta waka Sanicara para puswaka tEksI,cab_book
SEleMxra ke lie eka kEba buka kareM,cab_book
manu seTI ke lie eka kEba buka kareM,cab_book
himAnI ke lie puswaka kEba,cab_book
ekcUmawi bapawa ke lie kqpayA kEba buka kareM,cab_book
_filalaur_ se patiyAlA waka nirmala ke lie puswaka kEba,cab_book
mEM kAnapura havAI adde para jAnA cAhUMgA,cab_book
mEM hApudZa jAnA cAhUMgA,cab_book
kyA mEM cakraXarapura se apolo aspawAla waka eka tEksI buka kara sakawA hUM,cab_book
rAjakota se GodZIGara waka eka tEksI buka kareM,cab_book
AxilAbAxa ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
SukravAra ko bukakA tEksI se kAlakA se bilAsapura havAI adde waka,cab_book
vikrameMdarA ke lie eka kEba buka kareM,cab_book
jAnu lAlA ke lie eka kEba buka kareM,cab_book
maNiSaMkara ke lie puswaka kEba,cab_book
SElA malhowrA ​​ke lie kqpayA kEba buka kareM,cab_book
jogabanI se iMdipeta waka BUmi ke lie puswaka kEba,cab_book
mEM gagagala havAI adde para jAnA cAhUMgA,cab_book
mEM xisapura jAnA cAhUMgA,cab_book
kyA mEM SolApura se axAnI samUha waka eka tEksI buka kara sakawA hUM,cab_book
barOnI se itAvA waka eka tEksI buka kareM,cab_book
hAPa lAMga ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
aktUbara se buka tEksI loharaxaggA se jammU havAI adde waka,cab_book
premala ke lie eka kEba buka kareM,cab_book
suxevI dI'kostA ke lie eka kEba buka kareM,cab_book
urmilA ke lie puswaka kEba,cab_book
SaSAMka BArgavA ke lie kqpayA kEba buka kareM,cab_book
ciwwOdZagaDZa se kurukRewra waka svAgawa ke lie puswaka kEba,cab_book
mEM annA aMwararARtrIya havAI adde para jAnA cAhUMgA,cab_book
mEM JariyA jAnA cAhUMgA,cab_book
kyA mEM gudZagAMva se hIro hoMdA waka eka tEksI buka kara sakawA hUM,cab_book
revAdZI se kirwi bigahA waka eka tEksI buka kareM,cab_book
mere lie eka tEksI vyavasWiwa kareM,cab_book
maI se bAltI tEksI se bArAmawI se kAlikata eyaraporta waka,cab_book
meGA ke lie eka kEba buka kareM,cab_book
SivAnI bobala ke lie eka kEba buka kareM,cab_book
maMjarI ke lie puswaka kEba,cab_book
suxeSanA bijaniyA ke lie kqpayA kEba buka kareM,cab_book
jOnapura se sirasA waka mAlawI ke lie puswaka kEba,cab_book
mEM jAmanagara havAI adde para jAnA cAhUMgA,cab_book
mEM bAzkA jAnA cAhUMgA,cab_book
kyA mEM kAnapura se pawnI kaMpyUtarsa waka eka tEksI buka kara sakawA hUM,cab_book
murSixAbAxa se rAjapura waka eka tEksI buka kareM,cab_book
mere lie vAraMgala meM eka tEksI vyavasWiwa kareM,cab_book
julAI se buka tEksI ArA se wejU havAI adde waka,cab_book
kabIna ke lie eka kEba buka kareM,cab_book
kamAlikA laKAnI ke lie eka kEba buka kareM,cab_book
kAmaxeva ke lie puswaka kEba,cab_book
kElASa GoRa ke lie kqpayA kEba buka kareM,cab_book
pabavI ke lie amarohA se goraKapura waka puswaka kEba,cab_book
mEM gvAliyara eyaraporta para jAnA cAhUMgA,cab_book
mEM bArAmawI jAnA cAhUMgA,cab_book
kyA mEM mahArAjagaMja se iPako waka eka tEksI buka kara sakawA hUM,cab_book
amalApurama se bArIpaxA waka eka tEksI buka kareM,cab_book
mere lie eka tEksI vyavasWiwa karane ke lie jogabanI,cab_book
ParavarI meM buka tEksI se SivagaMgA se vijayavAdZA havAI adde waka,cab_book
ekawA ke lie eka kEba buka kareM,cab_book
girirAja patavArI ke lie eka kEba buka kareM,cab_book
anupamA ke lie puswaka kEba,cab_book
kqpayA cArabArA puMwAMbekara ke lie kEba buka kareM,cab_book
puswaka kEba ke lie xebasariwA se cUrU se DeMkanAla waka,cab_book
mEM kAnapura havAI adde para jAnA cAhUMgA,cab_book
mEM burahAnapura jAnA cAhUMgA,cab_book
kyA mEM barOnI se iMdiyA petroliyama waka eka tEksI buka kara sakawA hUM,cab_book
ruxraprayAga se laKImapura-KIrI waka eka tEksI buka kareM,cab_book
ananwanAga ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
jUna se buka tEksI paMsakudZA se sonegAzva havAI adde waka,cab_book
viSvajIwa ke lie eka kEba buka kareM,cab_book
sonA bexI ke lie eka kEba buka kareM,cab_book
kuMjala ke lie puswaka kEba,cab_book
kqRNA labbe ke lie kqpayA kEba buka kareM,cab_book
kiwAba kEba ke lie jayaMwI se mUrI se rAjamapeta waka,cab_book
mEM BAvanagara havAI adde para jAnA cAhUMgA,cab_book
mEM cAsa jAnA cAhUMgA,cab_book
kyA mEM amalApurama se bEMka OYPa badZOxA waka eka tEksI buka kara sakawA hUM,cab_book
paMcakulA se naMxaxayAla waka eka tEksI buka kareM,cab_book
AgarA ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
kapadZavaMja se jabalapura havAI adde waka jUna meM buka tEksI,cab_book
kewakI ke lie eka kEba buka kareM,cab_book
samrAta BAmarA ke lie eka kEba buka kareM,cab_book
anaMwama ke lie puswaka kEba,cab_book
prahalAxa boraha ke lie kqpayA kEba buka kareM,cab_book
puswaka kEba POYra vAMmAlA se mEMgalora se cakraXarapura waka,cab_book
mEM kotA havAI adde para jAnA cAhUMgA,cab_book
mEM rAjakota jAnA cAhUMgA,cab_book
kyA mEM sAranAWa se gela waka eka tEksI buka kara sakawA hUM,cab_book
udupI se bAMsakATA waka eka tEksI buka kareM,cab_book
mere lie tEksI vyavasWiwa karane ke lie eka tEksI vyavasWiwa kareM,cab_book
nambaroMdA se hubalI havAI adde waka xisambara ko buka tEksI,cab_book
agahanaSInI ke lie eka kEba buka kareM,cab_book
hArxikA bEga ke lie eka kEba buka kareM,cab_book
paxmA ke lie puswaka kEba,cab_book
rAjana wowA ke lie kqpayA kEba buka kareM,cab_book
buka kEba ke lie SawruMja se bAlAGAta se CiMxavAdZA waka,cab_book
mEM umaroI havAI adde para jAnA cAhUMgA,cab_book
mEM jAxUgodZA jAnA cAhUMgA,cab_book
kyA mEM baharIca se AIsIAIsIAI bEMka waka eka tEksI buka kara sakawA hUM,cab_book
sAragapo se hAWarasa waka eka tEksI buka kareM,cab_book
SivakASI ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
SanivAra ko buka tEksI se pUrvI caMpAraNa se sonArI eyaraporta waka,cab_book
SASvawa ke lie eka kEba buka kareM,cab_book
vikrAMwa ela ke lie eka kEba buka kareM,cab_book
rUpina ke lie puswaka kEba,cab_book
snehala kepara ke lie kEba buka kareM,cab_book
kiwAba kEba ke lie uwpala se jAmAdobA se nagarakuranUla waka,cab_book
mEM kotA havAI adde para jAnA cAhUMgA,cab_book
mEM wiruananwapurama jAnA cAhUMgA,cab_book
kyA mEM sirI se BArawa petroliyama waka eka tEksI buka kara sakawA hUM,cab_book
JAjZA se maMgalaxoI waka eka tEksI buka kareM,cab_book
mere lie eka tEksI vyavasWiwa karane ke lie gAsAvAz,cab_book
buka tEksI para bqhaspawivAra se wiruananwapurama se leha havAI adde waka,cab_book
kalAvawI ke lie eka kEba buka kareM,cab_book
arakA TukarAla ke lie eka kEba buka kareM,cab_book
jasarAja ke lie puswaka kEba,cab_book
kqpayA pramawa ke lie kEba buka kareM,cab_book
kAjala se kAjala se bewiyA se mujaPParapura waka buka kareM,cab_book
mEM SimalA havAI adde para jAnA cAhUMgA,cab_book
mEM rAjamapeta jAnA cAhUMgA,cab_book
kyA mEM JumarI wilEyA se BArawIya ispAwa prAXikaraNa waka eka tEksI buka kara sakawA hUM,cab_book
mEWana se hAPalAMga waka eka tEksI buka kareM,cab_book
mere lie unmAxa ke lie eka tEksI vyavasWiwa kareM,cab_book
ParavarI se sirI se cennaI waka buka tEksIgA havAI adde,cab_book
maMjarI ke lie eka kEba buka kareM,cab_book
vESAlI ke lie eka kEba buka kareM majUmaxAra,cab_book
mAralA ke lie puswaka kEba,cab_book
kqpayA xakRa ke lie kEba buka kareM mallAxI,cab_book
buka kEba POYra rukmiNI se cikkodZI se nellora waka,cab_book
mEM newAjI suBARacaMxra bosa aMwararARtrIya havAI adde para jAnA cAhUMgA,cab_book
mEM hAsana jAnA cAhUMgA,cab_book
kyA mEM GarOMdA se lArsana EMda tubro waka eka tEksI buka kara sakawA hUM,cab_book
xOsA se xumakA waka eka tEksI buka kareM,cab_book
JAbuA ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
julAI se buka tEksI bewiyA se lekara aMwararARtrIya havAI adde waka,cab_book
sqnIvAsa ke lie eka kEba buka kareM,cab_book
qRaBa raxxIra ke lie eka kEba buka kareM,cab_book
vixyAXara ke lie puswaka kEba,cab_book
amqwA gAyoM ke lie kqpayA kEba buka kareM,cab_book
SvewaMga se xevaGara se pulavAmA waka buka kEba,cab_book
mEM gvAliyara eyaraporta para jAnA cAhUMgA,cab_book
mEM JAMJArapura jAnA cAhUMgA,cab_book
kyA mEM kAlIbora se enaAIAItI waka eka tEksI buka kara sakawA hUM,cab_book
guvAhAtI se sirasA waka eka tEksI buka kareM,cab_book
mere lie sonapura meM eka tEksI vyavasWiwa kareM,cab_book
aktUbara se WANe se iMxirA gAzXI aMwararARtrIya havAI adde para buka tEksI,cab_book
SEleSa ke lie eka kEba buka kareM,cab_book
gitikA ciyA ke lie eka kEba buka kareM,cab_book
pallavI ke lie puswaka kEba,cab_book
raMjIwa pAlIvAla ke lie kqpayA kEba buka kareM,cab_book
nikuMja se nikaraMja waka buka kEba se gretara noedA,cab_book
mEM bIjU patanAyaka havAI adde para jAnA cAhUMgA,cab_book
mEM xisapura jAnA cAhUMgA,cab_book
kyA mEM XanabAxa se nevelI lignAita nigama waka eka tEksI buka kara sakawA hUM,cab_book
maWurA se ananwanAga waka eka tEksI buka kareM,cab_book
mere lie eka tEksI vyavasWiwa kareM SrIkAkulama,cab_book
aprEla se buka tEksI wirunAvelI se gvAliyara eyaraporta,cab_book
nirupamA ke lie eka kEba buka kareM,cab_book
XEnsa kalIwA ke lie eka kEba buka kareM,cab_book
surabI ke lie puswaka kEba,cab_book
kqpayA ramana xakRiNI ke lie kEba buka kareM,cab_book
buka kEba ke lie AraRi se gretara noedA se GorjidIhA,cab_book
mEM rAjamuMxarI havAI adde para jAnA cAhUMgA,cab_book
mEM PulabanI jAnA cAhUMgA,cab_book
kyA mEM rAjamuMxarI se eyara sahArA waka eka tEksI buka kara sakawA hUM,cab_book
maxurE se loharaxaggA waka eka tEksI buka kareM,cab_book
mere lie eka tEksI vyavasWiwa karane ke lie,cab_book
aprEla se buka tEksI kullU se lokapriya gopInAWa bAraxoI aMwararARtrIya havAI adde,cab_book
harRaxa ke lie eka kEba buka kareM,cab_book
jAnu saparU ke lie eka kEba buka kareM,cab_book
SArxula ke lie puswaka kEba,cab_book
rUpeSa maMgawa ke lie kEba buka kareM,cab_book
caMxila se vivAha waka nIwi ke lie puswaka kEba,cab_book
mEM hubalI havAI adde para jAnA cAhUMgA,cab_book
mEM pAnIpawa jAnA cAhUMgA,cab_book
kyA mEM eka tEksI buka kara sakawA hUM JumarI wilEyA se rilAyaMsa iMdastrIja,cab_book
sivanI se cikabalapura waka eka tEksI buka kareM,cab_book
mere lie silacara ke lie eka tEksI vyavasWiwa kareM,cab_book
siwaMbara ko cAmarAjanagara se belagAzva eyaraporta waka buka tEksI,cab_book
wApasa ke lie eka kEba buka kareM,cab_book
XarmendarA BAtiyA ke lie eka kEba buka kareM,cab_book
parIketa ke lie puswaka kEba,cab_book
anaMwa paraxeSI ke lie kEba buka kareM,cab_book
buka kEba ke lie mamawA se kolAra se kullU waka,cab_book
mEM rAjIva gAzXI aMwararARtrIya havAI adde para jAnA cAhUMgA,cab_book
mEM patiyAlA jAnA cAhUMgA,cab_book
kyA mEM gaDZavA se hiMxuswAna petroliyama waka eka tEksI buka kara sakawA hUM,cab_book
uXamapura se xumakA waka eka tEksI buka kareM,cab_book
mere lie eka tEksI vyavasWiwa karane ke lie dAltenagaMja,cab_book
bukara tEksI se xisaMbara waka bokAro se jammU havAI adde waka,cab_book
wArA ke lie eka kEba buka kareM,cab_book
xivyA naxavI ke lie eka kEba buka kareM,cab_book
wArA ke lie kiwAba kEba,cab_book
harRavarXana xAve ke lie kqpayA kEba buka kareM,cab_book
puswaka kEba ke lie alta se ciwwOgaDZa se kolAbA waka,cab_book
mEM umaroI havAI adde para jAnA cAhUMgA,cab_book
mEM AgarA jAnA cAhUMgA,cab_book
kyA mEM BAvanagara se tAtA samUha waka eka tEksI buka kara sakawA hUM,cab_book
xumakA se maXubanI waka eka tEksI buka kareM,cab_book
nalagoMdA ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
aktUbara se buka tEksI diMdIgula se maMgalora eyaraporta waka,cab_book
caMxraka ke lie eka kEba buka kareM,cab_book
aBijIwa kaliwA ke lie eka kEba buka kareM,cab_book
BUpena ke lie puswaka kEba,cab_book
prasannanA valIparAmabIla ke lie kqpayA kEba buka kareM,cab_book
prApwi ke lie puswaka kEba vivAha se murAxAbAxa waka,cab_book
mEM birasA muMdA havAI adde para jAnA cAhUMgA,cab_book
mEM hiMxOna jAnA cAhUMgA,cab_book
kyA mEM paMDarapura se hiMxuswAna petroliyama waka eka tEksI buka kara sakawA hUM,cab_book
sirohI se kErA waka eka tEksI buka kareM,cab_book
pawalA karane ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
Sanicara para puswaka tEksI se boXagayA se BAvanagara havAI adde waka,cab_book
palaskarA ke lie eka kEba buka kareM,cab_book
mahAbAlA seTI ke lie eka kEba buka kareM,cab_book
prawigayA ke lie puswaka kEba,cab_book
caMxrA malhowrA ​​ke lie kqpayA kEba buka kareM,cab_book
BopAla se mahArAjagaMja waka bAlamohana ke lie puswaka kEba,cab_book
mEM annA aMwararARtrIya havAI adde para jAnA cAhUMgA,cab_book
mEM jAnA cAhawA hUz kirwi bigahA,cab_book
kyA mEM hiMxOna se Axiwya bidZalA samUha waka eka tEksI buka kara sakawA hUM,cab_book
savAI mAXopura se bilAsapura waka eka tEksI buka kareM,cab_book
pUrvI caMpAraNa ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
mArca se buka tEksI SrIkAkulama se saraxAra vallaBa BAI patela aMwararARtrIya havAI adde,cab_book
ravIMxra ke lie eka kEba buka kareM,cab_book
ArSvinI muMSI ke lie eka kEba buka kareM,cab_book
pallava ke lie puswaka kEba,cab_book
kqpayA mANika jadZOna ke lie kEba buka kareM,cab_book
kopala se wenakASI waka caMxraka ke lie puswaka kEba,cab_book
mEM gvAliyara eyaraporta para jAnA cAhUMgA,cab_book
mEM suMxaranagara jAnA cAhUMgA,cab_book
kyA mEM cixaMbarama se jeke tAyara waka eka tEksI buka kara sakawA hUM,cab_book
pUrvI caMpAraNa se revAdZI waka eka tEksI buka kareM,cab_book
mere lie eka tEksI vyavasWiwa karane ke lie dAltenagaMja,cab_book
aprEla se buka tEksI SrIperaMbaxura se SimalA eyaraporta waka,cab_book
SaSAMka ke lie eka kEba buka kareM,cab_book
nIharikA BakwA ke lie eka kEba buka kareM,cab_book
sqnIvAsa ke lie puswaka kEba,cab_book
SenAjZa canA ke lie kqpayA kEba buka kareM,cab_book
agarawalA se sirI waka amara ke lie puswaka kEba,cab_book
mEM rAjamuMxarI havAI adde para jAnA cAhUMgA,cab_book
mEM hodala jAnA cAhUMgA,cab_book
kyA mEM etA se eyara iMdiyA waka eka tEksI buka kara sakawA hUM,cab_book
qRikeSa se BusAvala waka eka tEksI buka kareM,cab_book
kuranUla ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
SanivAra ko narasApura se wirupawi havAI adde waka buka tEksI,cab_book
vixyAcaraNa ke lie eka kEba buka kareM,cab_book
jayaSrI xebabarmA ke lie eka kEba buka kareM,cab_book
kqRNa ke lie puswaka kEba,cab_book
avaMwikA kaMsala ke lie kqpayA kEba buka kareM,cab_book
AdAMkRA se hodala se jAxUgodZA waka buka kEba,cab_book
mEM wejU havAI adde para jAnA cAhUMgA,cab_book
mEM UtI jAnA cAhUMgA,cab_book
kyA mEM kotA se bEMka OYPa badZOxA waka eka tEksI buka kara sakawA hUM,cab_book
mUrI se rAjakota waka eka tEksI buka kareM,cab_book
mere lie eka tEksI vyavasWiwa karane ke lie,cab_book
Cawarapura se jAmanagara havAI adde waka xisambara ko buka tEksI,cab_book
riyA ke lie eka kEba buka kareM,cab_book
samrAta mAne ke lie eka kEba buka kareM,cab_book
caraNa ke lie puswaka kEba,cab_book
jayaSrI cOXarI ke lie kqpayA kEba buka kareM,cab_book
kaMdalA se baMgalOra waka caMxraka ke lie puswaka kEba,cab_book
mEM wejU havAI adde para jAnA cAhUMgA,cab_book
mEM CaparA jAnA cAhUMgA,cab_book
kyA mEM AxilAbAxa se BArawIya steta bEMka waka eka tEksI buka kara sakawA hUM,cab_book
qRikeSa se belagAva waka eka tEksI buka kareM,cab_book
mere lie eka tEksI vyavasWiwa karane ke lie sugOlI,cab_book
rAjakota se amOsI eyaraporta waka navambara para buka tEksI,cab_book
kamaleSa ke lie eka kEba buka kareM,cab_book
nEnA kaSyapa ke lie eka kEba buka kareM,cab_book
aBinava ke lie puswaka kEba,cab_book
prahalAxa soMsale ke lie kqpayA kEba buka kareM,cab_book
perIkulama se sAraNa waka sOrava ke lie puswaka kEba,cab_book
mEM bilAsapura havAI adde para jAnA cAhUMgA,cab_book
mEM UtI jAnA cAhUMgA,cab_book
kyA mEM suwAlAnagaMja se jeke tAyara waka eka tEksI buka kara sakawA hUM,cab_book
ameTI se jayapura waka eka tEksI buka kareM,cab_book
kullU ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
ravivAra se buka tEksI cAmarAjanagara se hubalI havAI adde waka,cab_book
kIrwi ke lie eka kEba buka kareM,cab_book
rawajIwa hegadZe ke lie eka kEba buka kareM,cab_book
keSInI ke lie puswaka kEba,cab_book
kqpayA yAminI KAna ke lie kEba buka kareM,cab_book
kAkInAdZA se SolApura waka yaSapAla ke lie puswaka kEba,cab_book
mEM vijayavAdZA havAI adde para jAnA cAhUMgA,cab_book
mEM jogabanI jAnA cAhUMgA,cab_book
kyA mEM diMdIgula se pawnI kampyUtarsa waka eka tEksI buka kara sakawA hUM,cab_book
mirjZApura se gopAlagaMjZa waka eka tEksI buka kareM,cab_book
mere lie eka tEksI vyavasWiwa kareM hanama saMpAxaka,cab_book
ParavarI meM bukapurI se XarmapurI se kortanera eyaraporta waka,cab_book
anupama ke lie eka kEba buka kareM,cab_book
amiwA sAhU ke lie eka kEba buka kareM,cab_book
ramana ke lie kiwAba kEba,cab_book
aMkura suDZapallI ke lie kqpayA kEba buka kareM,cab_book
BaxrAcala se lekara sirI waka vajarA ke lie puswaka kEba,cab_book
mEM jAmanagara havAI adde para jAnA cAhUMgA,cab_book
mEM jAnA cAhUMgA JumarI wilEyA,cab_book
kyA mEM gudZagAMva se tAtA samUha waka eka tEksI buka kara sakawA hUM,cab_book
xurgApura se rAmeSvara waka eka tEksI buka kareM,cab_book
AxilAbAxa ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
SanivAra ko radOra se amOsI eyaraporta waka buka tEksI,cab_book
jUhI ke lie eka kEba buka kareM,cab_book
kalpanA diksita ke lie eka kEba buka kareM,cab_book
ekaliMgA ke lie puswaka kEba,cab_book
ekaMgA pIrisa ke lie kqpayA kEba buka kareM,cab_book
kiwAba kEba ke lie girIlAla se toMka se ArA waka,cab_book
mEM jammU havAI adde para jAnA cAhUMgA,cab_book
mEM maXupura jAnA cAhUMgA,cab_book
kyA mEM wejapura se koMkaNa relave waka eka tEksI buka kara sakawA hUM,cab_book
hAPalAMga se XarmapurI waka eka tEksI buka kareM,cab_book
pAkudZa ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
buXavAra ko puswaka tEksI se sivanI se xevI ahi nI bAI holakara eyaraporta,cab_book
kalpanA ke lie eka kEba buka kareM,cab_book
